Dialogue Act,Emitter,Text
Other,gotwood4sheep,what was that? :D
Other,william,"william, you're a true diplomat"
Other,tomas.kostan,^^ it might just pay off in the long run
Offer,william,clay to spare? :)
Accept,gotwood4sheep,yup
Other,william,lol
Counteroffer,tomas.kostan,i need ore or wood
Offer,william,for a wood?
Accept,gotwood4sheep,yes
Offer,gotwood4sheep,"william, can you spare another clay for another wood?"
Other,william,or are you now wooded up
Refusal,gotwood4sheep,wooded up ;)
Other,william,no worries then :)
Other,gotwood4sheep,"sry about this,  but i saw the spot first..."
Other,gotwood4sheep,wowzer
Other,tomas.kostan,quite the chain
Other,tomas.kostan,not again william :D
Other,gotwood4sheep,just one turn. just one :D
Offer,william,anyone got ore?
Refusal,tomas.kostan,no
Refusal,gotwood4sheep,no sry
Other,tomas.kostan,no worries then no worries then
Offer,william,need wood and clay
Refusal,gotwood4sheep,sry
Counteroffer,tomas.kostan,"i have wood,  what you got?"
Offer,gotwood4sheep,sheep?
Counteroffer,tomas.kostan,anything else?
Offer,gotwood4sheep,wheat?
Accept,tomas.kostan,i'll take your first offer i'll take your first offer
Accept,gotwood4sheep,ok then
Other,gotwood4sheep,i have literally got wood for sheep
Other,tomas.kostan,joy!
Other,gotwood4sheep,thx! thx!
Other,gotwood4sheep,i will never tire of that
Other,tomas.kostan,yw
Offer,william,what about an ore?
Refusal,gotwood4sheep,i'm broke
"Counteroffer, Other",tomas.kostan,"again, what do you have?   I'm not as sold on this trade  but i'll hear you out"
Offer,gotwood4sheep,sheep or wheat?
Refusal,tomas.kostan,"one for one doesn't really work for me, sorry"
Counteroffer,gotwood4sheep,sheep or wheat + wood? sheep or wheat + wood?
Other,gotwood4sheep,"i didn't need the wood i just gave you, alas"
Refusal,william,think i'll pass :)
Offer,tomas.kostan,can i get an ore for a sheep?
Refusal,gotwood4sheep,no ore here sry
Refusal,tomas.kostan,fraid not
Offer,william,clay ore for trade anyone?
Refusal,gotwood4sheep,no
Counteroffer,gotwood4sheep,i need a clay
Counteroffer,gotwood4sheep,can offer an ore
Other,tomas.kostan,if that's what you mean?
Other,tomas.kostan,"yes i missed ""or"" there"
Offer,gotwood4sheep,ore for what then?
Counteroffer,gotwood4sheep,clay
Counteroffer,tomas.kostan,which you don't have?
Offer,gotwood4sheep,clay and ore :)  ask for anything else ask for anything else
Refusal,gotwood4sheep,sorry!
Other,tomas.kostan,clay is my heart's desire
Counteroffer,gotwood4sheep,ok wood then?  anyone can trade wood?
Refusal,william,i have wood but guess what
Refusal,gotwood4sheep,nada
Counteroffer,gotwood4sheep,need clay
Other,gotwood4sheep,lol
Counteroffer,tomas.kostan,i could do 1 wood for a sheep perhaps?
"Counteroffer, Other",gotwood4sheep,i can give you a sheep and a wheat  think about that :)
Accept,tomas.kostan,ok then
Accept,gotwood4sheep,:)
Other,tomas.kostan,you just got upsold
Other,gotwood4sheep,:D
Other,gotwood4sheep,and now watch my prowess at rolling a 7...
Other,william,"aww, one off"
Other,gotwood4sheep,close one
Offer,william,anyone got clay?
Refusal,gotwood4sheep,no
Other,william,no problem!
Offer,gotwood4sheep,clay from someone?
Refusal,tomas.kostan,"no clay at all, apologies"
Refusal,gotwood4sheep,sry i only have a sheep
Other,tomas.kostan,"I'm property rich,  cash poor"
Offer,william,ore anyone?
Refusal,gotwood4sheep,no
Counteroffer,gotwood4sheep,I'd need 2 wheat for an ore
Other,tomas.kostan,which I imagine is too pricey
Offer,gotwood4sheep,can offer just one :) can offer just one :)
Refusal,tomas.kostan,sorry!
Other,gotwood4sheep,np
Other,tomas.kostan,so much clay!
Offer,william,still no ore?
Refusal,gotwood4sheep,no
Counteroffer,tomas.kostan,"only for clay or 2 wheat, sorry"
Counteroffer,gotwood4sheep,sheep perhaps?
Refusal,tomas.kostan,"no sheep, sorry!"
Counteroffer,gotwood4sheep,2 sheep? :) 2 sheep? :)
Refusal,gotwood4sheep,still not enticing
Other,tomas.kostan,I have fed well on sheep
Other,gotwood4sheep,:D
Other,gotwood4sheep,"ouch, you've burned yourself on those 7s"
Other,tomas.kostan,9 nooo!
Offer,gotwood4sheep,"ore, sheep or wheat to spare?"
Counteroffer,william,i have an ore
Refusal,gotwood4sheep,nope
Counteroffer,tomas.kostan,what can you offer in return
Offer,gotwood4sheep,sheep or wheat?
Counteroffer,gotwood4sheep,"nah, sorry, again it's clay on my mind"
Counteroffer,tomas.kostan,or 2 wood
Other,tomas.kostan,hmmm...
Counteroffer,gotwood4sheep,i can give you a clay for an ore + a sheep or a wheat
Other,gotwood4sheep,i have but the one resource
Other,tomas.kostan,it's mathematically impossible to oblige ;)
Other,tomas.kostan,i see now :D
Counteroffer,gotwood4sheep,ok then... ore for clay? ok then... ore for clay?
Accept,gotwood4sheep,go on then
Other,tomas.kostan,it's a sunny day
Other,gotwood4sheep,:)
Other,gotwood4sheep,build that well earned city wisely
Other,gotwood4sheep,7s abound!
Other,tomas.kostan,aww :)
Other,gotwood4sheep,thank you :)
Offer,tomas.kostan,tomas - wheat for wood?
Other,gotwood4sheep,which one do you want?
Offer,gotwood4sheep,i need wood
Other,tomas.kostan,and see you just gained one!
Refusal,gotwood4sheep,but i do not need wheat :)
Other,tomas.kostan,"ah well, thanks for investigating :D"
Other,gotwood4sheep,now i have wood to spare :)
Other,william,noooooo!
Other,gotwood4sheep,sry guys
Other,gotwood4sheep,great monopolizing
Other,gotwood4sheep,"no no, respect!"
Other,gotwood4sheep,a true act of villainry
Other,william,I admire your dastardly nature
Other,gotwood4sheep,i dont choose which cards i draw :p
Offer,tomas.kostan,anyone want to trade a wheat for a sheep?
Counteroffer,william,i can give you your wood for wheat :)
Refusal,gotwood4sheep,nope
Offer,tomas.kostan,wood for wheat tomas?
Accept,gotwood4sheep,yes
Accept,gotwood4sheep,"ok then, one sec!"
Other,william,sorry!
Other,gotwood4sheep,nice one
Other,tomas.kostan,good game though
Other,gotwood4sheep,good game :)
Other,gotwood4sheep,I was rather rich in wheat
Other,gotwood4sheep,but it was a splendid battle :D
Other,william,who won on Sunday?
Other,william,"i was hoping for a clay empire, but no cigar"
Other,tomas.kostan,LJ
Other,gotwood4sheep,lj won on sunday
Other,gotwood4sheep,"indeed, the 3s were better than 11s indeed, the 3s were better than 11s"
Other,william,"ahh, she was very very close in the first game too ahh, she was very very close in the first game too"
Other,gotwood4sheep,next game on thursday? next game on thursday?
Other,tomas.kostan,"well, I look forward to thursday, yes"
Other,tomas.kostan,yes :)
Other,william,me too
Other,gotwood4sheep,cool. see you then cool. see you then
Other,william,"we'll get LJ in the loop,  as she's playing both right?"
Other,gotwood4sheep,we finished just in time for football ;)
Other,gotwood4sheep,"and I am, and you guys sit one out each?"
Other,william,"indeed, result!"
Other,gotwood4sheep,yup
Other,gotwood4sheep,I hope I have not jinxed it  and now england lose :D
Other,gotwood4sheep,cool well I'll defer to you both on your preferred times  so you're not stuck all the time
Other,gotwood4sheep,thanks Tomas!!
Other,tomas.kostan,good game :)
Other,gotwood4sheep,ok see you on thursday :)
Other,tomas.kostan,see you then :)
Other,tomas.kostan,you are too good for us
Other,gotwood4sheep,:))
Other,gotwood4sheep,I have played a lot  since Markus first contacted ;)
Other,tomas.kostan,and I have been pretty lucky with the rolls!
Other,tomas.kostan,and it pays off :) i admire you. good luck on thursday games
Other,william,bye
Other,tomas.kostan,hi tomas
Other,tomas.kostan,hi there
Other,ljaybrad123,is the game on tonight?
Other,tomas.kostan,"yes it is,"
Other,ljaybrad123,ok :)
Other,tomas.kostan,we wait ten mins for cameron
Other,ljaybrad123,kk
Other,ljaybrad123,if hes not here we do a 3 person game
Other,william,brb
Other,ljaybrad123,ok
Other,tomas.kostan,back
Other,ljaybrad123,did cameron say he will be here?
Other,william,yep
Other,ljaybrad123,iffy
Other,tomas.kostan,it was a time he could do...
Other,ljaybrad123,?
Other,william,we give him til 10 past...
Other,tomas.kostan,k
Other,ljaybrad123,ok
Other,tomas.kostan,"if he not here,  he's removed from the league"
Other,ljaybrad123,i agree
Other,william,we can't afford to wait any longer
Other,ljaybrad123,shall i start the game now?
Other,ljaybrad123,yep :)
Other,tomas.kostan,good luck guys
Other,william,10 past.  do we start?
Other,ljaybrad123,we have started
Offer,william,anyone have clay for sheep?
Refusal,tomas.kostan,nope
Refusal,william,no
Offer,ljaybrad123,can i get a clay from someone?
Refusal,tomas.kostan,none sorry
Offer,william,anyone have some wood to spare?
Counteroffer,ljaybrad123,for clay...
Refusal,tomas.kostan,no sorry
Offer,william,for a sheep
Counteroffer,tomas.kostan,for ore?
Offer,william,can only offer a sheep can only offer a sheep
Refusal,william,got enough. sorry
Offer,tomas.kostan,"i can give you a lot for a clay, anyone?"
Refusal,ljaybrad123,no sry
Accept,ljaybrad123,I have clay
Counteroffer,william,wood and a wheat?
Accept,william,fine
Other,ljaybrad123,oops
Other,tomas.kostan,I'm red :)
Offer,william,wood anyone?
Refusal,ljaybrad123,nope
Refusal,ljaybrad123,sorry
Offer,william,anyone have clay?
Refusal,tomas.kostan,nope
Refusal,tomas.kostan,no
Offer,william,still no wood?
Refusal,ljaybrad123,no
Refusal,ljaybrad123,no
Other,william,yay sheep :p
Offer,ljaybrad123,can i get a sheep for a wheat from someone?
Accept,william,yes
Other,ljaybrad123,cheers
Other,william,thanks too :)
Other,tomas.kostan,there's your wood ;)
Offer,william,do you have one for trade?
Refusal,ljaybrad123,lj does :)
Counteroffer,tomas.kostan,I can spare a wood for clay
Accept,ljaybrad123,ok
Other,tomas.kostan,wrong colour :p
Other,tomas.kostan,sry...
Other,ljaybrad123,how to trade with the bank?  does not work for me
Other,tomas.kostan,trade with bank/port
Other,ljaybrad123,ok worked
Other,ljaybrad123,but has to be 4:1
Offer,william,anyone want sheep?
Refusal,tomas.kostan,no
Refusal,ljaybrad123,nope
Offer,william,oooh I would have traded you 1 for 1 :p
Refusal,ljaybrad123,sry
Other,ljaybrad123,its ok
Offer,tomas.kostan,anyone give me ore for sheep?
Refusal,william,no
Refusal,william,no
Offer,tomas.kostan,can i get sheep or ore from someone for wheat?
Refusal,ljaybrad123,n
Refusal,tomas.kostan,no
Other,ljaybrad123,omg robber race :D
Other,william,this robber is busy
Other,tomas.kostan,^^
Offer,ljaybrad123,can i get a wheat for an ore?
Refusal,william,no
Accept,william,yep
Offer,ljaybrad123,can i get an ore for 1 wood
Refusal,tomas.kostan,no
Refusal,william,nope sry
Counteroffer,tomas.kostan,2 wood?
Refusal,william,no ore for trade
Other,tomas.kostan,:D
Other,william,nooooo :D
Offer,ljaybrad123,can i get someone's clay?
Other,ljaybrad123,stupid robber
Refusal,tomas.kostan,i has none
Refusal,ljaybrad123,no clay in here
Other,william,bloody hell
Other,ljaybrad123,it IS the most likely number...
Other,william,even so...
Other,william,^^
Offer,ljaybrad123,can i get ore for wood?
Refusal,tomas.kostan,no
Other,tomas.kostan,this game is crazy
Refusal,ljaybrad123,no sry
Offer,tomas.kostan,anyone want sheep?
Accept,william,i do
Refusal,tomas.kostan,no
Counteroffer,ljaybrad123,for wood? for wood?
Offer,tomas.kostan,2 sheep for 1 ore one wheat?
Refusal,ljaybrad123,sry can only offer wood
Refusal,tomas.kostan,sorry i has wood
Other,ljaybrad123,ok
Other,tomas.kostan,bloody hell...  stupid buttons
Other,ljaybrad123,i think it is time for another 7 :)
Offer,william,anyone have clay for sheep?
Refusal,tomas.kostan,no
Refusal,ljaybrad123,no
Other,tomas.kostan,yay sheep :D
Offer,ljaybrad123,can i get wheet from someone?
Refusal,william,no
Accept,tomas.kostan,yes
Offer,william,for wood? for wood?
Counteroffer,william,clay?
Counteroffer,tomas.kostan,ore?
Refusal,william,nope
Accept,tomas.kostan,then one wood
Other,tomas.kostan,ok in your turn :)
Other,ljaybrad123,bloody robber
Offer,tomas.kostan,anyone have 1 wheat 1 wood for 2 sheep?
Refusal,william,no
"Counteroffer, Refusal",ljaybrad123,"no,  but can i give you something for your clay?"
Counteroffer,william,wood?
Accept,tomas.kostan,sure
Other,ljaybrad123,noooo :D
Offer,tomas.kostan,anyone have one wheat?
Refusal,william,no
Accept,william,yes
Counteroffer,ljaybrad123,but i really dont need sheep
Offer,william,william for a sheep?
Refusal,ljaybrad123,^^ no
Counteroffer,william,2 sheep?
Accept,ljaybrad123,ok fine
Other,ljaybrad123,:D
Other,tomas.kostan,all the ore :D
Offer,ljaybrad123,can i get a sheep for a wood?
Refusal,ljaybrad123,i has no sheep :p
Counteroffer,william,I has ore/...
Accept,tomas.kostan,yes here
Counteroffer,william,and some wheat to spare for a friend? :) and some wheat to spare for a friend? :)
Refusal,ljaybrad123,no
Offer,william,anyone have wheat or wood?
Refusal,tomas.kostan,not for trade
Refusal,ljaybrad123,no
Counteroffer,william,wheat or clay even wheat or clay even
Refusal,tomas.kostan,no
Other,tomas.kostan,pls roll 7 ;)
Other,tomas.kostan,ouch
Offer,ljaybrad123,can you trade clay lj?
Accept,tomas.kostan,yes but it wont come cheap////
Offer,ljaybrad123,2 wood?
Refusal,ljaybrad123,no
Counteroffer,tomas.kostan,1 sheep oe wheat?
Counteroffer,ljaybrad123,ore + wood?
Counteroffer,ljaybrad123,one*
Refusal,ljaybrad123,sorry have those
Counteroffer,tomas.kostan,its sheep and wheat i need
Refusal,ljaybrad123,do not have any wheat
Refusal,william,then no sorry
Offer,ljaybrad123,can i have someone's ore for sheep?
Accept,tomas.kostan,yes
Refusal,ljaybrad123,nope
Other,tomas.kostan,please not 7
Offer,ljaybrad123,wheat for clay?
Refusal,william,nope
Refusal,ljaybrad123,no
Offer,william,anyone have wheat for ore or sheep?
Accept,tomas.kostan,i need ore yes
Refusal,ljaybrad123,no
Offer,william,anyone have another wheat?
Refusal,tomas.kostan,no
Refusal,ljaybrad123,no
Counteroffer,william,clay?
Refusal,tomas.kostan,no
Other,ljaybrad123,for what?
Counteroffer,tomas.kostan,"am quite happy to give 2 for one,  or even 3 for one for wheat"
Other,ljaybrad123,oh.. so you want wheat not clay?
Other,ljaybrad123,"yes, sorry yes, sorry"
Other,tomas.kostan,misread colours at bottom
Refusal,ljaybrad123,i do not have any
Counteroffer,tomas.kostan,anyone have sheep for ore?
Refusal,william,no
Refusal,ljaybrad123,no
Offer,william,anyone have clay for sheep?
Refusal,tomas.kostan,no
Other,tomas.kostan,this game is so boring  when you know you have lost.. :(
Refusal,william,no
Other,tomas.kostan,^^ sry. lj will win soon
Other,ljaybrad123,:D
Other,tomas.kostan,*hugs*
Other,ljaybrad123,yes lj you deserve it today :)
Other,william,thankyou :$
Other,ljaybrad123,^^
Other,tomas.kostan,I feel kinda bad though
Other,ljaybrad123,for what?
Offer,tomas.kostan,anyone have clay for sheep or ore?
Refusal,william,my only chance was the wood port and i lost it
Refusal,tomas.kostan,no
Counteroffer,ljaybrad123,only for wheat
Refusal,ljaybrad123,sorry i need wheat
Counteroffer,tomas.kostan,can do one sheep one ore?
Accept,tomas.kostan,ok
Other,william,congrats!!!
Other,ljaybrad123,good game!
Other,ljaybrad123,nice game guys
Other,tomas.kostan,can we sort with niko for more games soon?
Other,william,so when is the next one?
Other,ljaybrad123,it would be great if we could have another one before friday
Other,william,when is you you guys are away?
Other,tomas.kostan,i leave on friday for two trips...
Other,ljaybrad123,i am here till thursday so friday is no good for me
Other,ljaybrad123,"ok, so we could do with playing all games before thursday"
Other,tomas.kostan,taht could be tough
Other,tomas.kostan,and then back here again on monday
Other,tomas.kostan,ok why not
Other,william,but not in the morning pls
Other,ljaybrad123,tuesday night works for me
Other,william,no
Other,ljaybrad123,no?
Other,ljaybrad123,I cant do thursday....  but maybe niko could?
Other,ljaybrad123,*tuesday
Other,william,ill sit out that one?
Other,tomas.kostan,hmm. sure. we'll email him them
Other,tomas.kostan,ok then
Other,ljaybrad123,and another on thursday?
Other,william,Thurs would be great  if we can
Other,tomas.kostan,fine
Other,ljaybrad123,i can too so it should be fine
Other,tomas.kostan,i could even play 2 on thurs
Other,tomas.kostan,me too :)
Other,ljaybrad123,we just need to email niko
Other,william,"Does one of you want to send a group message to try get you two and niko on tues, and the other two"
Other,tomas.kostan,"tomas, do you want to write an email to everyone?"
Other,tomas.kostan,yes why not
Other,ljaybrad123,i will do it
Other,ljaybrad123,thursday?
Other,william,thankyou
Other,ljaybrad123,thx
Other,ljaybrad123,ok I should go make some food
Other,william,thanks for a great game guys
Other,ljaybrad123,later
Other,tomas.kostan,oh
Other,ljaybrad123,thx see you later
Other,ljaybrad123,please CC markus in please CC markus in
Other,tomas.kostan,bye
Other,tomas.kostan,sure
Other,william,bb
Other,ljaybrad123,hi
Other,ljaybrad123,Hi :)
Other,gotwood4sheep,it's a long time since I've played!
Other,ljaybrad123,Hi folks! Hi folks!
Other,gotwood4sheep,hi :)
Other,ljaybrad123,I have some good/bad news :S
Other,ljaybrad123,oh?
Other,gotwood4sheep,evening tomas
Other,ljaybrad123,I just got an email about winning a competition for movie tickets
Other,tomas.kostan,are we ready to start?
Other,ljaybrad123,hey
Other,william,nice
Other,gotwood4sheep,ready
Other,tomas.kostan,tonight. at 9pm :(
Other,gotwood4sheep,ready
Other,gotwood4sheep,reckon we can get thru this in 45mins?!
Other,ljaybrad123,sorry guys!!!
Other,william,should be able to
Other,gotwood4sheep,let's just try
Other,gotwood4sheep,sweet.  good luck all :) sweet.  good luck all :)
Other,gotwood4sheep,fwiw i blitz these in 9mins against Markus's bots
Other,ljaybrad123,but I like to have a conversation against real people :D
Other,tomas.kostan,how many points is it to win in this version?
Other,ljaybrad123,i think it is 10
Other,gotwood4sheep,awesome
Other,ljaybrad123,10 to win
Other,gotwood4sheep,ive been playing the extensions :p
Other,gotwood4sheep,"in the league we get 2 for a win, 1 for playing :)"
Other,ljaybrad123,be nice william :)
Other,gotwood4sheep,:(
Offer,ljaybrad123,anyone want to trade for clay?  I can offer wheat or sheep :)
Refusal,tomas.kostan,nope sorry
Refusal,william,nope
Refusal,gotwood4sheep,no
Other,ljaybrad123,kk no problem :D kk no problem :D kk no problem :D
Other,william,bloody robber :p
Offer,william,does anyone need sheep or wheat?
Offer,tomas.kostan,i need ore or wood
Refusal,gotwood4sheep,no thanks
Refusal,tomas.kostan,no ta!
Offer,william,anyone can offer any wood?
Refusal,gotwood4sheep,sry no
"Refusal, Other",ljaybrad123,sorry - more 6s and I can oblige then :)
Other,gotwood4sheep,move the robber and sure :p
Other,gotwood4sheep,lol :D
Offer,tomas.kostan,"clay, anyone?  or still no :("
Refusal,ljaybrad123,no sry
Refusal,william,nope
Accept,gotwood4sheep,i will give you 1 clay for 1 ore
Other,gotwood4sheep,"no worries, I'll keep asking :D no worries, I'll keep asking :D"
Refusal,ljaybrad123,"have no ore, william, sorry"
Offer,william,anyone want sheep?
Refusal,tomas.kostan,nope
Refusal,gotwood4sheep,no
Refusal,ljaybrad123,i have an abundance :)
Other,gotwood4sheep,just like last time?
Other,tomas.kostan,If i roll a 7 i will be sad bunny...
Offer,tomas.kostan,i will give you 1 clay for 1 sheep :)
Offer,ljaybrad123,anyone?
Accept,william,tomas sure
Refusal,gotwood4sheep,sry
Accept,gotwood4sheep,i'll do that
Counteroffer,gotwood4sheep,i can improve :)
Counteroffer,gotwood4sheep,2 sheep for a clay?
Counteroffer,tomas.kostan,I'll give you a free sheep in my turn :)
Accept,gotwood4sheep,ok :D
Other,ljaybrad123,as you registered hastily :)
Other,william,i dunno how to make trades work :(
Other,tomas.kostan,i also forgot i also forgot
Accept,gotwood4sheep,ok then
Other,ljaybrad123,"ljay, once you agree your prices, click ""register a trade"".  Plug in what you give and get, check th"
Other,william,ahhh awesome
Other,ljaybrad123,right
Other,gotwood4sheep,gotwood did you take logic1 this year?
Other,tomas.kostan,dammit it won't let me trade for nothing
Other,gotwood4sheep,no problem :D
Other,gotwood4sheep,"tomas, next trade add in a sheep"
Offer,gotwood4sheep,anyone got more clay? I fancy another
Offer,ljaybrad123,can offer a range of items can offer a range of items
Accept,gotwood4sheep,i have clay
Other,william,"no i didn't ljay, I'm not a student :)"
Refusal,ljaybrad123,sry
Counteroffer,gotwood4sheep,would like wood
Offer,ljaybrad123,1 for 1?
Other,ljaybrad123,"ahhh ok, never mind"
Accept,gotwood4sheep,sure
Other,gotwood4sheep,ty ty :)
Other,gotwood4sheep,tomas remember I'm on the hook for a sheep to you
Other,tomas.kostan,booo laura :D
Other,ljaybrad123,i will keep that that in mind no worries :)
Offer,tomas.kostan,anyone have wheat for sheep?
Refusal,william,nope
Refusal,gotwood4sheep,no
Counteroffer,gotwood4sheep,1 for 1?
Other,ljaybrad123,I'll have my sheep back :D
Accept,gotwood4sheep,yep :)
Other,gotwood4sheep,pleasure doing business
Other,gotwood4sheep,boooo!
Other,gotwood4sheep,sorry laura
Other,tomas.kostan,needed clay the mean way :D
Other,gotwood4sheep,yeah :D
Other,ljaybrad123,touché
Other,ljaybrad123,bloody sheep :p
Offer,gotwood4sheep,anyone want sheep for clay?
Refusal,gotwood4sheep,"got none, sorry :("
Other,william,so how do people know about the league?
Refusal,gotwood4sheep,no
Other,ljaybrad123,"and Markus, etc?"
Other,ljaybrad123,i did the trails
Other,tomas.kostan,trials even
Other,gotwood4sheep,i know about it from my gf
Other,tomas.kostan,"yeah me too, are you an Informatics student then, ljay? are you an Informatics student then, ljay?"
Other,william,did not do the trials did not do the trials
Offer,gotwood4sheep,has anyone got wood for me?
Other,gotwood4sheep,I did them because a friend did
Other,gotwood4sheep,"lol william, you cad"
Refusal,ljaybrad123,afraid not :(
Other,tomas.kostan,"no, Im about to start maths, I just hang around appleton a lot"
Refusal,gotwood4sheep,sry no
Refusal,william,my single wood is precious
Other,gotwood4sheep,what's a cad?
Other,gotwood4sheep,"a cad is a devious man, usually trying to seduce/impress ladies"
Offer,tomas.kostan,anyone want to trade wheat or sheep for a clay?  I need clay
Refusal,william,no clay in here
Refusal,gotwood4sheep,"no, sry"
Other,ljaybrad123,"no worries!  no worries!  Guess what I am short of lol, Guess what I am short of lol, clay clay clay"
Accept,gotwood4sheep,I have sheep I have sheep
Offer,ljaybrad123,"sorry, I want clay, will offer sheep/wheat"
Refusal,ljaybrad123,ahhh sorry nope
Offer,gotwood4sheep,anyone have wheat?
Accept,tomas.kostan,loads
Refusal,william,no
Refusal,gotwood4sheep,no
Other,ljaybrad123,I'm a grain factory
Offer,gotwood4sheep,want sheep or wood?
Refusal,gotwood4sheep,afraid not lol
Counteroffer,ljaybrad123,it's clay my heart desires!
Refusal,gotwood4sheep,I need clay too
Counteroffer,gotwood4sheep,maybe ore...
Other,ljaybrad123,sorry ljay
Refusal,gotwood4sheep,no ore sorry
Other,ljaybrad123,ah dommage
Other,gotwood4sheep,that is the sheep port im at right? or do i need a building there to trade 2:1
Other,ljaybrad123,you need a building first
Other,ljaybrad123,ahhh :(
Offer,william,anyone have wheat for sheep?
Refusal,gotwood4sheep,no
Refusal,tomas.kostan,"not for sheep, sorry :("
Other,tomas.kostan,come on lucky 7...
Other,gotwood4sheep,almost..
Offer,william,anyone want to trade some clay for me
Refusal,gotwood4sheep,can't
Offer,ljaybrad123,i can offer sheep or wheat?
Refusal,gotwood4sheep,sorry
Other,tomas.kostan,didn't think so but always will ask :D
Counteroffer,gotwood4sheep,want any wood?
Refusal,ljaybrad123,I'm good for wood :D
Counteroffer,gotwood4sheep,i need wheat... can offer sheep or wood
Refusal,ljaybrad123,maybe next turn :)
Offer,tomas.kostan,anyone have wheat?
Refusal,gotwood4sheep,no
Accept,gotwood4sheep,yup
Other,ljaybrad123,at the right price :)
Offer,gotwood4sheep,2 sheep?
Counteroffer,ljaybrad123,1 wood 1 sheep?
Accept,gotwood4sheep,can do
Accept,gotwood4sheep,deal
Other,gotwood4sheep,um i have no clay
Other,ljaybrad123,did you mean wheat?
Other,gotwood4sheep,sorry yeah
Other,gotwood4sheep,retry¬!
Accept,gotwood4sheep,no problem ;)
Other,ljaybrad123,worried I was wheeling and dealing!
Other,gotwood4sheep,its been a ong day
Other,gotwood4sheep,"tomas that's your sheep there, watch it well"
Other,tomas.kostan,where were you?  you said w/o internat
Other,gotwood4sheep,:)
Other,ljaybrad123,internet*
Other,gotwood4sheep,yorkshire
Other,ljaybrad123,nice country
Other,gotwood4sheep,not really :p
Other,gotwood4sheep,aww what bit?
Other,ljaybrad123,some of it is lovely some of it is lovely
Other,ljaybrad123,york leeds
Other,gotwood4sheep,its pretty
Other,william,ahhhhhh#
Offer,ljaybrad123,does someone want my sheep?
Other,gotwood4sheep,im from lancashire...
Other,gotwood4sheep,my brother is in leeds.  it's no edinburgh :)
Other,ljaybrad123,ah ha lol! rival
Other,gotwood4sheep,yes just a little bit
Counteroffer,william,"for what, william?"
Offer,gotwood4sheep,anything really. ore? wood?
Refusal,william,"neither, i'm afraid, only a wheat.  Sorry!"
Refusal,gotwood4sheep,hmm. maybe later
Other,ljaybrad123,kk :)
Other,tomas.kostan,this die is not in my favour tonight....
Offer,gotwood4sheep,anyone willing to buy some wood?
Other,ljaybrad123,"we have 4 games laura, I'm sure it will even out :)"
Refusal,gotwood4sheep,cant sorry
Counteroffer,gotwood4sheep,"how about 2 sheep, tomas? (1 and the one i owe you)"
Counteroffer,tomas.kostan,or 1 sheep 1 wheat?
Counteroffer,gotwood4sheep,what about 1 sheep and 1 wheat? :) what about 1 sheep and 1 wheat? :)
Accept,tomas.kostan,deal
Accept,gotwood4sheep,yeah deal
Other,gotwood4sheep,happy to make even
Other,tomas.kostan,I am a man of my word
Other,gotwood4sheep,thank you!
Offer,tomas.kostan,anyone got clay?
Other,gotwood4sheep,i will remember that :) i will remember that :)
Offer,tomas.kostan,I will trade very generously I will trade very generously if so
Refusal,william,no clay
Refusal,ljaybrad123,no
Refusal,gotwood4sheep,nothing...
Other,ljaybrad123,no worries :) no worries :) no worries :)
Other,gotwood4sheep,all the ore :)
Other,william,lol
Offer,gotwood4sheep,can i get a clay from someone? offering wheat or sheep
Refusal,ljaybrad123,don't have any
Refusal,tomas.kostan,sorry
Refusal,gotwood4sheep,no
Other,william,afraid i haven't seen it rolled either :(
Offer,ljaybrad123,can i get an ore?
Accept,william,yes
Offer,gotwood4sheep,do you want a sheep for it?
Accept,ljaybrad123,I'll trade too I'll trade too
Accept,william,sure a sheep works
Accept,ljaybrad123,ok laura
Other,gotwood4sheep,being called laura is odd :p
Other,william,are you ljay?
Other,ljaybrad123,sorry. what do you want to be called?
Other,gotwood4sheep,lj works lj works
Other,william,lj cool
Other,ljaybrad123,did i get the trade right?
Other,william,yep :)
Other,gotwood4sheep,ok cheers
Other,gotwood4sheep,yup!
Offer,gotwood4sheep,"laura, could i cadge a clay?"
Offer,gotwood4sheep,or william?
Offer,ljaybrad123,name a price :)
Refusal,william,sorry nope
Refusal,gotwood4sheep,no
Offer,william,ok...ore? ok...ore?
Refusal,ljaybrad123,just spent it
Counteroffer,gotwood4sheep,ore for sheep and wheat or wood
Offer,ljaybrad123,one or tother?
Offer,gotwood4sheep,nah i need both
Refusal,gotwood4sheep,afraid I can't pay 2 for 1...
Refusal,ljaybrad123,apologies!
Refusal,ljaybrad123,then sorry no then sorry no
Other,gotwood4sheep,just hope no one rolls a 7 :p
Other,gotwood4sheep,i had another plan :)
Other,ljaybrad123,but wanted to save some cash
Offer,gotwood4sheep,anyone have wood?
Refusal,ljaybrad123,sorry no
Offer,tomas.kostan,or wheat?
Accept,william,i do
Accept,tomas.kostan,loads of wheat!
Counteroffer,ljaybrad123,what can you offer for a wood?
Offer,william,willian 2 wheat for sheep and ore?
Accept,gotwood4sheep,sound good
Other,william,kerching! kerching!
Other,gotwood4sheep,"ah, finally"
Other,tomas.kostan,uh oh...
Offer,gotwood4sheep,can anyone give me ore for wood?
Refusal,ljaybrad123,"i got none, sorry :("
Refusal,gotwood4sheep,sorry
Other,gotwood4sheep,"just going afk but have no trades to offer this turn, afraid I'm a bit fallow"
